date,id,text,time,latitude,longitude
2018-05-09,48119119108,Island living 🏝🥥🌺  Kapalua Hawai,03:44:09,20.9967,-156.653
2018-05-03,4910211510910511610449,Blessed to be home in Hawai’i for a few weeks  Kanaka Kav,01:25:05,19.6346908,-155.98983930000003
2018-04-30,49104971199710510598111121,Spirits  Sansei Waikolo,23:31:26,19.91383842,-155.87940562
2018-05-08,49104971199710510598111121,The tools at the ready for afternoon strawberry mules  Kalaoa Hawai,20:13:31,19.723,-156.005
2018-05-02,49104971199710510598111121,Pint and a shotguinness tullamoredew ,09:01:52,19.92545,-155.88433
2018-05-08,505210795112117114101108105102101,NEW CONTENT 💯 Are you ready to change your life 24kpurelife,22:50:39,20.913120000000003,-156.69244
2018-05-05,505210795112117114101108105102101,Until you value yourself you won’t value your time Until you value your,08:19:23,20.8861,-156.675
2018-05-01,509811110810010812110311111611497118101108,Anothermaui evening walk  Pic looking towards the West Maui mountains,05:10:07,20.886881600000002,-156.4774079
2018-05-08,5110011710199101115,I gotta thank the boys at hopupmagazine for leading me to this,20:32:09,20.68377868,-156.4417521
2018-04-30,51114100103971089712010597114116,pnUuJT2ZE3 Pure Silver Triple Wrapped RingsPure 999 Solid Silver10 Gauge Thick,01:20:31,19.64188,-155.99315
2018-05-06,56485611210897116101,Feliz Cinco do Mayo Ohana 🤙🏽 808plate📍Pint amp Cork Wailea Maui Hawaii,03:27:32,20.68711,-156.4403
2018-05-01,575753120,day 8今日からMaui,07:31:00,20.9348,-156.679
2018-04-30,575753120,ここが私のアナザースカイ⬆︎やりました（笑）Green sands beachの岩？の上からの絶景🙏✨✨荒々しくも美しい🙏✨✨明日でBig,05:29:23,18.93633278,-155.64671239
2018-05-07,9710710810997117105,Our lovely Lavender Body Butter Creme 16oz is made with all organic,00:21:37,20.73340003,-156.31940712
2018-05-06,9710710810997117105,spottedinthegarden Aseroe Rubra aka the “anemone stinkhorn” or “starfish,01:57:53,20.73340003,-156.31940712
2018-05-08,9710710810997117105,We will be at Seabury Hall on May 12th with all of our lavender products,01:06:59,20.73340003,-156.31940712
2018-05-08,9710710810997117105,One of our own from our lavender Ohana has family and friends in Puna where,00:19:48,20.73340003,-156.31940712
2018-04-30,9710710810997117105,You can find this French variety of lavender in our delicious scones,22:13:26,20.73340003,-156.31940712
2018-05-24,979910110997110564856,Early dinner  Mamas Fish House in Paia HI,02:56:39,20.92906374,-156.36719384
2018-05-01,971009710998117122122,Riley absolutely loved the beach and showed no fear of the waves She wanted,23:51:32,19.827920000000002,-155.99132
2018-05-04,9710011410597110110989910897,⛪ 🌊 🌴 🌅 Keawala’i Church What a spectacular setting for a church — right on,02:29:56,20.6498871,-156.44105530000002
2018-05-01,9710011410597110110989910897,It’s all about the journey Good night  🌊 🌅 ⛵️ sunset makena maui hawaii,02:28:01,20.6575,-156.445
2018-05-08,9710011410597110110989910897,Someone told me he’s going to Maui specifically Wailea I,02:44:14,20.68303027,-156.44276845
2018-05-07,9710011410597110110989910897,Feeling grateful as another weekend comes to an end Thankful for family,02:20:55,20.6575,-156.445
2018-05-04,97100118101110116117114111117115122,What mountains have you been climbing lately🌄This week for me was all,17:27:39,20.8861,-156.675
2018-04-30,971041081031141011101061119799104105109,Me and my ninja moves 🤘🏾 sunset ninja jump hawaii maui hörs  Hyatt Regency Maui Resort amp Sp,06:18:38,20.913120000000003,-156.69244
2018-05-06,971051141049711997105105110101116,キラウエア火山の噴火🌋近隣の方々は大丈夫かな…大自然と共存してる以上、仕方のないことだけれども、、心配ですね😔 場所 Volcano National,06:18:52,19.61838,-155.98554
2018-05-05,9710897105110971021179711697,“She is Pelehonuamea Pele of the sacred land She is Pele‘aihonua Pele,04:29:08,19.4735,-154.92
2018-05-06,9710810112011811011110897110,Jurassic Park looking scene from Maui Minus dinosaurs 🦕🦖 of course maui,14:28:46,20.98590154,-156.66873096
2018-05-04,9710810112011811011110897110,I haven’t been posting much lately It’s because I’ve been getting good,16:31:09,20.98590154,-156.66873096
2018-05-07,9710810112011811011110897110,Man crushed by this studly sea 🌊 god emerging from the waves The adventures,11:31:17,20.69138479,-156.44388733
2018-05-03,9710810112011811011110897110,BLOGGED link in profile Hawaiian 🌺 Sunsets 🌅 on the dotcom Check out the,13:59:51,20.69138479,-156.44388733
2018-05-03,9710810112011811011110897110,BLOGGED Hawaiian 🌺 Sunsets 🌅 on the dotcom Check out the unparalleled,14:01:45,20.69138479,-156.44388733
2018-05-04,97108105107971041111111099711097,Now Available💪🏽 So StokedCustom decals made by mssheabeee contact her,04:47:52,19.65,-155.994
2018-05-08,97108105107971041111111099711097,Contact me for pick ups for today 👍🏽Drop off spot Wednesday 8am,18:18:18,19.65,-155.994
2018-05-05,97108105107971041111111099711097,My brother 808ho and I were Chaperones for My Son amp Niece for their 5th,02:06:10,19.6736,-156.029
2018-05-03,97108105107971041111111099711097,Yesterday’s Outdoor Fun had Kettle Bells on the Menu 💪🏽 Great job 8am amp 5pm,16:03:36,19.65,-155.994
2018-05-01,97108105107971041111111099711097,ehunuikaimalino Lā Mei 2018boomboom10 papa 5 TeamHoomana ProudDaddy,21:48:06,19.5091152,-155.9171938
2018-05-06,97108105107971041111111099711097,My Ho’omana’s are My Strength amp I Love them UnConditionally 😘😘💪🏽Mahalo,03:45:48,19.66991218,-155.98486675
2018-05-28,9710811210497112117103,Drinking a Lahaina Town Brown by MauiBrewingCo  Cool Cat Cafe — QM20P,22:44:42,20.8723,-156.67700000000002
2018-05-04,9710812197115104111119114111111109,Yesterday’s adventure to see madam Pele 🌋  Volcano National Park Kilaue,22:42:38,19.61838,-155.98554
2018-05-05,971091011011109710997116116104101119115,SalaamsPraying for our FamiliesFriends and all love ones on The Big Island,12:10:58,19.64188,-155.99315
2018-05-04,971091011011109710997116116104101119115,Salaams Wow I Seen FireampRainAll always thaught that I see,12:34:38,19.924032699999998,-155.88749886
2018-05-02,971101009712210997117105,Artwork stay on the table We get to it bumbye 🌴☀️ Translation The artwork,18:02:12,20.692604,-156.44253500000002
2018-05-01,971101009712210997117105,It’s lu’au Tuesday It’s a beautiful day to get your tickets for our intimate,20:59:37,20.692604,-156.44253500000002
2018-05-02,971101001141019711010199,The best feeling in the whole world is watching things finally fall into,15:54:02,20.886881600000002,-156.4774079
2018-05-08,971101031011081029799101109117,Before I go to sleep I must say that my MCM is none other than my,06:05:59,20.8676,-156.67531
2018-05-01,97110116104111110121104105116116,A beautiful maui moon on a cloudy night in hawaii aloha  Cove Par,06:59:01,20.728714800000002,-156.45058083
2018-05-21,9711011610411111012111311710511011697110111,Im at Hilo International Airport in Hilo H,06:56:56,19.71887858,-155.04764557
2018-05-28,9711499116117114117115102108121101114,Margherita pizza for dinner at Dona amp Tonis in the Hilton Waikoloa,05:27:14,19.9276725,-155.8864026
2018-05-29,9711499116117114117115102108121101114,South Point,01:06:45,18.912142199999998,-155.6819064
2018-05-27,9711499116117114117115102108121101114,angelponders Just finished listening to Kim Coco Iwamoto speak at party state conventionDPHConvention201,23:38:09,19.924535000000002,-155.8866757
2018-05-26,9711499116117114117115102108121101114,charibdys merumorimaru Your man SenJeffMerkley is a long way from home,22:39:03,19.924535000000002,-155.8866757
2018-05-26,9711499116117114117115102108121101114,merumorimaru charibdys The Democratic Party of Hawaii invited him to speak at the state convention this year so thats what,23:00:57,19.924229800000003,-155.883005
2018-05-27,9711499116117114117115102108121101114,Such humid Very vog So Kona,01:43:15,19.9255363,-155.88821399999998
2018-05-27,9711499116117114117115102108121101114,TIL ABC Stores runs a supermarket in Waikoloa named Island Gourmet Market,04:43:44,19.9135233,-155.88044240000002
2018-05-05,97115104105107106,dPsycosis TrushilK Im alive All clear,21:28:14,20.71295,-156.445436
2018-04-29,971161089711511211111910111411911497112115,Love that I can be With the wife while she’s here working and having a new office view for the,23:56:40,20.692604,-156.44253500000002
2018-04-29,9711711610511510911511199105101116121104105,PmFWyBdPaM One of,23:23:58,20.89861111,-156.43055556
2018-04-29,9711711610511510911511199105101116121104105,Zo3qCFQkWk One of the,23:12:59,19.73888889,-156.04555556
2018-05-07,98971101039711611497120,Got me 2 boxes of vinyl gold dropped off to me Yes I still collect,21:29:16,20.90383586,-156.48561567
2018-05-09,98971101039711611497120,I havent put any new music out for a while The studio is still,00:15:41,20.90383586,-156.48561567
2018-05-06,98971081081111111101099710310599103117121,Thank you Maui It’s time to go back home Hope we can perform here again,18:08:00,20.89861111,-156.43055556
2018-05-07,98971081081111111101099710310599103117121,Pikachu I choose you balloontwistershawaii balloontwisting balloonanimals,18:57:30,20.827179,-156.514779
2018-05-06,98971081081111111101099710310599103117121,Maui trip means make a stop at Krispy Kreme There ate Chips Ahoy Nutter,16:54:15,20.887420000000002,-156.45253
2018-05-06,98971081081111111101099710310599103117121,Happy first Birthday to Jaci and Jax We’re so pumped to be performing in,03:43:40,20.827179,-156.514779
2018-05-06,98971081081111111101099710310599103117121,New Pokémon design Name that Pokémon balloonanimals balloontwisting,04:12:40,20.827179,-156.514779
2018-05-02,989711498971149711710199104105,“So fine was the morning except for a streak of wind here and there that the,18:05:25,19.65,-155.994
2018-05-01,9810197110116111119110107,Never let those dreams die,04:31:55,20.76018667,-156.46012833
2018-05-05,98101971179810197117989711410511097,sisi 🌹•••it feels like it’s been forever home  Kahului Hawai,16:05:59,20.8818,-156.467
2018-05-05,9810198975557,We’re in Maui  Kahului Airpor,07:33:40,20.89861111,-156.43055556
2018-05-05,9810198975557,Left over shrimp fried rice for breakfast  Aston Maui Hil,18:44:00,20.70807738,-156.44071433
2018-05-05,9810198975557,Just posted a photo  Aston Maui Hil,19:01:52,20.70807738,-156.44071433
2018-05-04,981011081111175048,Can’t imagine what the people of Leilani and neighbors are feeling right now,19:05:07,19.7055,-155.086
2018-05-07,981051081089710097109115,On the edge of Halemaumau crater the Kalaimoku advisor to the King makes,00:43:31,19.41,-155.286
2018-05-20,981051081081219910497118105115,Headed to Maui  Kona International Airport in KailuaKona HI,20:13:04,19.73549893,-156.04078617
